country,year,pop,areakm2 ,gdpnom,flights - WB,hotels,hotrooms,expend,receipt,ovnarriv,dayvisit,crusvis,arrpleas,arrbus,arrair,arrwat,emptour,carrycap,exptour,expbus,travx,travpas,arrafr,arram,arreap,arreur,arrme,arrse,arroth,arrausl,arrbel,araus,arrfra,arrger,arrchn,arrit,arrnet,arrswz,arrind,arruae,arrreu,arrsey,arrspa,arrsin,arrsaf,arrrus,arrswe,arruk,arrmad,ocrooms,ocbed,avstay,avcap,intrxgdp,ottexpdg,tbalgdp,topen,tcov,intxexg,intxexs,intxexal,intxcac,oteximg,otxims,otximal,otxcad
1,0,1187000,2040,.,12162,.,.,.,732000000,656000,22000,11000,651000,27000,646000,10000,.,.,.,.,542,190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.
1,1,1189800,2040,4684000000,12269,95,9024,.,820000000,660000,15000,6000,648000,27000,650000,10000,.,.,467,156,623,197,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2,1200200,2040,4911000000,12720,95,9623,.,829000000,682000,27000,18000,680000,29000,668000,14000,.,.,385,227,612,217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,3,1210400,2040,5825000000,12969,97,9647,.,960000000,702000,20000,9000,691000,31000,690000,12000,.,.,452,245,697,263,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,4,1220500,2040,6594000000,14791,103,10640,.,1156000000,719000,20000,9000,709000,30000,708000,11000,.,.,525,331,856,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,5,1243000,2040,6489000000,14743,99,10497,.,1189000000,761000,20000,9000,751000,30000,748000,13000,.,.,503,368,871,318,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,6,1240800,2040,6732000000,13692,98,10666,.,1302000000,788000,19000,8000,775000,32000,775000,13000,.,.,638,367,1005,297,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,7,1250900,2040,7792000000,12090,97,10857,.,1663000000,907000,26000,9000,898000,35000,895000,12000,26500,0.72,853,450,1304,359,211000,10000,40000,596000,5000,45000,.,19635,10945,10969,240028,65165,7739,69510,6331,17546,42974,1971,95823,14275,11092,2020,81733,5968,9891,107297,8842,76,68,.,17.28,21.3,4.8,16.4,26.3,433.1,74.3,75.4,37.4,30.2,10.5,24.5,7.3,6.2
1,8,1274200,2040,9641000000,11742,102,11488,.,1823000000,930000,40000,13000,933000,37000,914000,16000,28800,0.73,937,517,1454,369,213000,14000,40000,609000,7000,46000,1000,18852,11796,8974,260054,61484,8425,66432,6051,16037,43911,4109,96174,10604,12001,1758,84448,6763,8305,107919,10905,68,61,.,18.2,18.9,5.1,13.8,24,372.8,76.5,71.7,37,29.6,11.1,25.5,7.8,6.7
1,9,1284300,2040,8824000000,11144,102,11456,.,1390000000,871000,19000,14000,861000,29000,848000,23000,27000,0.68,731,389,1120,270,204000,13000,26000,580000,6000,41000,1000,10363,10254,8106,275599,51279,6925,56736,5527,15349,39252,3141,104946,7532,9549,1657,74176,5626,5060,101996,8333,61,54,.,18.22,15.7,4.3,11.4,20.1,362,71.7,62.1,33.3,27.5,11,23.9,7.5,6.7
