country,year,pop,areakm2 ,gdpnom,flights - WB,receipt,ovnarriv,arrpleas,arrair,tcov,intxexg,intxexs,intxexal,intxcac,oteximg,otxims,otximal,otxcad
Mauritius,0,1187000,2040,4684000000.0,12162.0,732000000.0,656000.0,651000.0,646000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,1,1189800,2040,4684000000.0,12269.0,820000000.0,660000.0,648000.0,650000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,2,1200200,2040,4911000000.0,12720.0,829000000.0,682000.0,680000.0,668000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,3,1210400,2040,5825000000.0,12969.0,960000000.0,702000.0,691000.0,690000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,4,1220500,2040,6594000000.0,14791.0,1156000000.0,719000.0,709000.0,708000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,5,1243000,2040,6489000000.0,14743.0,1189000000.0,761000.0,751000.0,748000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,6,1240800,2040,6732000000.0,13692.0,1302000000.0,788000.0,775000.0,775000.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Mauritius,7,1250900,2040,7792000000.0,12090.0,1663000000.0,907000.0,898000.0,895000.0,433.1,74.3,75.4,37.4,30.2,10.5,24.5,7.3,6.2
Mauritius,8,1274200,2040,9641000000.0,11742.0,1823000000.0,930000.0,933000.0,914000.0,372.8,76.5,71.7,37.0,29.6,11.1,25.5,7.8,6.7
Mauritius,9,1284300,2040,8824000000.0,11144.0,1390000000.0,871000.0,861000.0,848000.0,362.0,71.7,62.1,33.3,27.5,11.0,23.9,7.5,6.7
Mauritius,10,1283400,2040,9706000000.0,11750.0,1585000000.0,935000.0,920000.0,911000.0,374.7,70.1,58.8,32.0,15.3,10.2,21.4,6.9,3.7
Mauritius,11,1288700,2040,11244000000.0,12353.0,1813000000.0,965000.0,942000.0,940000.0,424.6,68.5,55.0,30.5,14.7,8.7,17.1,5.7,3.1
Mauritius,12,1293500,2040,11466000000.0,12258.0,1823000000.0,774500.0,763000.0,761500.0,374.7,71.7,62.1,33.3,27.5,10.5,23.9,7.3,6.2
Seychelles,0,85000,451,615000000.0,18966.0,225000000.0,130000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,1,81000,451,622000000.0,20249.0,221000000.0,130000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,2,84000,451,698000000.0,22449.0,247000000.0,132000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,3,83000,451,706000000.0,18647.0,258000000.0,122000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,4,83000,451,857000000.0,19281.0,256000000.0,121000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,5,83000,451,937000000.0,19581.0,269000000.0,129000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,6,85000,451,1037000000.0,19526.0,323000000.0,141000.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Seychelles,7,85000,451,1039000000.0,20727.0,396000000.0,161000.0,153000.0,159000.0,542.5,99.6,63.0,38.6,37.8,10.7,16.0,6.4,6.4
Seychelles,8,87000,451,962000000.0,11896.0,408000000.0,159000.0,149000.0,156000.0,637.5,93.2,66.9,38.9,37.4,7.6,17.6,5.3,5.3
Seychelles,9,87000,451,841000000.0,11238.0,349000000.0,158000.0,147000.0,155000.0,634.5,80.8,58.1,33.8,31.8,7.5,14.4,4.9,4.9
Seychelles,10,90000,451,973000000.0,12989.0,352000000.0,175000.0,165000.0,174000.0,558.7,87.9,59.5,35.5,33.8,8.6,14.7,5.4,5.3
Seychelles,11,87000,451,1060000000.0,14202.0,378000000.0,194000.0,187000.0,193000.0,581.5,79.1,61.5,34.6,32.8,7.4,15.4,5.0,4.9
Seychelles,12,85000,451,1031000000.0,11878.0,408000000.0,136500.0,153000.0,159000.0,581.5,87.9,61.5,35.5,33.8,7.6,15.4,5.3,5.3
Antigua and Barbuda,0,777000,440,788000000.0,62070.0,291000000.0,207000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,1,792000,440,778000000.0,72001.0,272000000.0,215000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,2,805000,440,807000000.0,63361.0,274000000.0,218000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,3,817000,440,849000000.0,67163.0,300000000.0,239000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,4,828000,440,905000000.0,25700.0,337000000.0,246000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,5,839000,440,1002000000.0,26985.0,309000000.0,245000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,6,849000,440,1141000000.0,26175.0,327000000.0,254000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Antigua and Barbuda,7,859000,440,1296000000.0,27746.0,338000000.0,262000.0,251000.0,262000.0,650.0,570.2,64.8,58.2,51.6,8.0,18.3,5.6,5.3
Antigua and Barbuda,8,869000,440,1355000000.0,28356.0,334000000.0,266000.0,258000.0,266000.0,575.9,510.8,59.6,53.4,48.5,8.7,21.4,6.2,5.9
Antigua and Barbuda,9,878000,440,1211000000.0,26371.0,305000000.0,234000.0,228000.0,234000.0,564.8,601.1,59.7,54.3,49.6,11.3,23.7,7.6,7.4
Antigua and Barbuda,10,887000,440,1136000000.0,39865.0,298000000.0,230000.0,225000.0,230000.0,573.1,657.4,62.3,56.9,51.6,11.5,23.0,7.6,7.3
Antigua and Barbuda,11,818000,440,1125000000.0,36534.0,312000000.0,241000.0,234000.0,241000.0,624.0,718.1,63.2,58.1,53.1,11.7,23.0,7.8,7.4
Antigua and Barbuda,12,834833,440,1176000000.0,33606.0,338000000.0,240000.0,234000.0,241000.0,575.9,601.1,62.3,56.9,51.6,11.3,23.0,7.6,7.3
Bahrain,0,638200,765,7966000000.0,21303.0,854000000.0,3869000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,1,642500,765,7969000000.0,20492.0,886000000.0,4388000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,2,642100,765,8489000000.0,19752.0,985000000.0,4831000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,3,647200,765,9745000000.0,28508.0,1206000000.0,4844000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,4,671800,765,11233000000.0,32488.0,1504000000.0,5667000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,5,724800,765,13457000000.0,12269.0,1603000000.0,6313000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,6,811400,765,15848000000.0,12269.0,1786000000.0,7289000.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Bahrain,7,925700,765,18468000000.0,12269.0,1854000000.0,7833000.0,6788000.0,1642000.0,276.3,13.6,50.4,10.7,,6.1,39.4,5.3,2.7
Bahrain,8,1052000,765,22146000000.0,12269.0,1927000000.0,8631000.0,7362000.0,1855000.0,273.7,11.1,49.2,9.1,,4.9,34.7,4.3,2.8
Bahrain,9,1170000,765,19287000000.0,69808.0,1873000000.0,8861000.0,6788000.0,1941000.0,313.7,15.8,48.9,11.9,,6.2,34.3,5.3,4.1
Bahrain,10,1262000,765,21488000000.0,62473.0,2163000000.0,11952000.0,6788000.0,2280000.0,316.2,15.8,51.1,12.1,,6.1,35.9,5.2,4.2
Bahrain,11,1324000,765,25866000000.0,60779.0,1766000000.0,6732000.0,6082000.0,1521000.0,196.4,9.0,53.6,7.7,,7.4,50.5,6.5,4.0
Bahrain,12,1324000,765,27026000000.0,61904.0,2163000000.0,6522500.0,6788000.0,1855000.0,276.3,13.6,50.4,10.7,,6.1,35.9,5.3,4.0
Maldives,0,273200,298,801000000.0,5970.0,321000000.0,467000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,1,277800,298,767000000.0,3286.0,327000000.0,461000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,2,282300,298,828000000.0,3417.0,337000000.0,485000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,3,286700,298,968000000.0,3520.0,402000000.0,564000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,4,291000,298,1076000000.0,4224.0,471000000.0,617000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,5,295200,298,992000000.0,4520.0,826000000.0,395000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,6,299400,298,1303000000.0,5108.0,1235000000.0,602000.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Maldives,7,303500,298,1542000000.0,5006.0,1331000000.0,676000.0,676000.0,676000.0,887.3,586.4,95.5,82.1,78.5,11.5,44.6,9.1,8.0
Maldives,8,307600,298,1892000000.0,5006.0,1392000000.0,683000.0,683000.0,683000.0,669.2,420.1,94.6,77.2,75.8,12.6,48.6,10.0,8.9
Maldives,9,311700,298,1942000000.0,4971.0,1366000000.0,656000.0,656000.0,656000.0,647.4,808.1,95.1,85.1,83.5,19.5,52.7,14.2,12.5
Maldives,10,315900,298,2134000000.0,4745.5,1713000000.0,792000.0,792000.0,792000.0,679.8,867.3,94.6,85.3,84.5,20.3,55.9,14.9,13.2
Maldives,11,320100,298,2042000000.0,4745.5,1868000000.0,931000.0,931000.0,931000.0,729.7,539.3,94.3,80.3,79.2,14.8,47.4,11.3,10.2
Maldives,12,320100,298,220900000.0,4745.5,1868000000.0,609500.0,683000.0,683000.0,679.8,586.4,94.6,82.1,79.2,14.8,48.6,11.3,10.2
Malta,0,381400,316,3963000000.0,15394.0,731000000.0,1216000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,1,393000,316,3919000000.0,15056.0,704000000.0,1180000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,2,396000,316,4303000000.0,14594.0,757000000.0,1134000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,3,398600,316,5126000000.0,14390.0,869000000.0,1127000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,4,401300,316,5648000000.0,14356.0,949000000.0,1156000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,5,403900,316,5989000000.0,14768.0,924000000.0,1171000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,6,406400,316,6388000000.0,15359.0,966000000.0,1124000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Malta,7,409000,316,7513000000.0,16895.0,1185000000.0,1244000.0,1145000.0,1224000.0,417.3,32.4,34.7,16.8,11.1,5.7,12.9,4.0,2.6
Malta,8,412000,316,8601000000.0,17334.0,1336000000.0,1291000.0,1178000.0,1270000.0,370.1,36.5,30.5,16.6,10.6,6.6,13.3,4.4,2.8
Malta,9,414000,316,8118000000.0,18362.0,1117000000.0,1182000.0,1073000.0,1166000.0,306.0,39.1,28.0,16.3,10.0,8.4,13.9,5.2,3.3
Malta,10,416000,316,8382000000.0,16828.0,1257000000.0,1336000.0,1219000.0,1308000.0,305.1,35.4,28.1,15.7,10.6,8.3,14.1,5.2,3.5
Malta,11,415700,316,9123000000.0,14891.0,1480000000.0,1412000.0,1296000.0,1375000.0,327.4,34.9,29.8,16.1,11.6,8.1,14.6,5.2,3.7
Malta,12,416000,316,8689000000.0,14248.0,1480000000.0,1181000.0,1178000.0,1270000.0,327.4,35.4,29.8,16.3,10.6,8.1,13.9,5.2,3.3
Samoa,0,176500,2831,215000000.0,10877.0,41000000.0,88000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,1,177600,2831,226000000.0,11802.0,39000000.0,88000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,2,178500,2831,267000000.0,12317.0,45000000.0,89000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,3,179100,2831,331000000.0,9010.0,54000000.0,92000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,4,179700,2831,378000000.0,10691.0,70000000.0,98000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,5,180200,2831,407000000.0,11439.0,79800000.0,102000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,6,180800,2831,454000000.0,12752.0,91400000.0,110000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Samoa,7,181300,2831,520000000.0,12658.0,102400000.0,117000.0,110000.0,118000.0,517.2,737.2,61.0,56.3,33.1,8.7,27.9,6.6,6.3
Samoa,8,181800,2831,502000000.0,12699.0,111600000.0,118000.0,112000.0,118000.0,516.7,991.1,6.1,62.0,33.8,8.7,29.0,6.7,6.3
Samoa,9,182400,2831,572000000.0,12492.0,115200000.0,122000.0,118000.0,127000.0,576.0,1036.9,70.9,66.4,36.2,9.6,24.1,6.9,6.5
Samoa,10,183000,2831,622000000.0,12059.5,123700000.0,122000.0,118000.0,127000.0,490.9,998.4,68.0,63.6,36.2,9.0,27.5,6.8,6.5
Samoa,11,183900,2831,643000000.0,12059.5,134900000.0,121000.0,117000.0,125000.0,654.9,1186.5,72.3,68.2,36.9,6.5,27.0,5.2,5.0
Samoa,12,183900,2831,683000000.0,12059.5,134900000.0,106000.0,117000.0,125000.0,517.2,998.4,68.0,63.6,36.2,8.7,27.5,6.7,6.3
Sao Tome & Principe,0,141000,1001,77000000.0,1135.0,9900000.0,7000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,1,143400,1001,77000000.0,1135.0,6200000.0,8000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,2,145800,1001,85000000.0,1128.0,6900000.0,9000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,3,148000,1001,101000000.0,1170.0,7400000.0,10000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,4,150300,1001,111000000.0,1267.0,7700000.0,11000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,5,152600,1001,123000000.0,1310.0,7300000.0,16000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,6,155000,1001,135000000.0,1337.0,6700000.0,12000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,7,157400,1001,144000000.0,1426.0,5000000.0,12000.0,10800.0,11000.0,714.3,73.4,74.6,37.0,18.7,1.1,3.7,0.8,0.7
Sao Tome & Principe,8,160000,1001,183000000.0,1142.0,7700000.0,14000.0,13900.0,14200.0,2483.9,98.3,79.5,44.0,27.3,0.3,1.4,0.3,0.3
Sao Tome & Principe,9,162500,1001,196000000.0,1143.0,8300000.0,15000.0,14800.0,13700.0,2024.4,90.1,79.7,442.3,25.5,0.5,2.2,0.4,0.4
Sao Tome & Principe,10,165400,1001,201000000.0,1156.5,11100000.0,8000.0,7000.0,7700.0,2018.2,101.6,83.0,45.7,26.7,0.6,2.3,0.5,0.4
Sao Tome & Principe,11,168500,1001,248000000.0,1156.5,15900000.0,11000.0,12350.0,12350.0,1177.8,145.3,86.4,54.2,34.7,1.2,4.3,0.9,0.9
Sao Tome & Principe,12,168500,1001,264000000.0,1156.5,15900000.0,11000.0,12350.0,12350.0,2018.2,98.3,79.7,45.7,26.7,0.6,2.3,0.5,0.4
Tonga,0,97900,139,192000000.0,3814.0,7000000.0,35000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,1,98500,139,182000000.0,4157.0,6800000.0,32000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,2,99100,139,194000000.0,4323.0,5900000.0,37000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,3,99700,139,219000000.0,4453.0,10300000.0,40000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,4,100300,139,252000000.0,5255.0,13100000.0,41000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,5,100900,139,287000000.0,4323.0,15000000.0,42000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,6,101600,139,303000000.0,4323.0,15700000.0,39000.0,43000.0,47500.0,79.2,154.5,53.5,39.8,11.4,14.2,45.1,10.8,9.5
Tonga,7,102300,139,327000000.0,4323.0,15200000.0,46000.0,43000.0,46000.0,79.2,119.3,58.1,39.1,8.7,14.2,45.1,10.8,9.5
Tonga,8,102900,139,332000000.0,4323.0,19500000.0,49000.0,43000.0,49000.0,77.7,154.5,53.5,39.8,11.5,15.4,45.6,11.5,10.3
Tonga,9,103500,139,337000000.0,4323.0,16800000.0,51000.0,43000.0,51000.0,88.5,230.6,49.0,40.4,11.4,13.7,40.8,10.2,9.2
